Contribution Date	Contribution Type	Type of contributor	Last Name	First Name	Initial	Street #	Street Name	Suite # / Apt	City	Province	Postal Code	Estimated # of Contributors	Monetary Amount Given	Contribution Per CEA	Advantage Received Per ITA	Advantage Description
10/02/2019	Monetary	Individual	ABC1	TEST1		1	ROAD1	12	OTTAWA	ON	K1A 0B6	2	100	100		
11/02/2019	Monetary	Individual	ABC2	TEST2		2	ROAD2	13	OTTAWA	ON	K1A 0B7		250	220	30	TEST
12/02/2019	Monetary	Individual	ABC3	TEST3		3	ROAD3	14	OTTAWA	ON	K1A 0B8		300	300		
13/02/2019	Monetary	Individual	ABC4	TEST4		4	ROAD4	15	OTTAWA	ON	K1A 0B9		450	400		
14/02/2019	Monetary	Individual	ABC5	TEST5		5	ROAD5	16	OTTAWA	ON	K1A 0B10		250	250		
15/02/2019	Monetary	Individual	ABC6	TEST6		6	ROAD6	17	OTTAWA	ON	K1A 0B11	10				
16/02/2019	Monetary	Individual	ABC7	TEST7		7	ROAD7	18	OTTAWA	ON	K1A 0B12	25	1000	500	500	TEST 2
17/02/2019	Monetary	Individual	ABC8	TEST8		8	ROAD8	19	OTTAWA	ON	K1A 0B13		250	250		
18/02/2019	Monetary	Individual	ABC9	TEST9		9	ROAD9	20	OTTAWA	ON	K1A 0B14		251	251		
19/02/2019	Monetary	Individual	ABC10	TEST10		10	ROAD10	21	OTTAWA	ON	K1A 0B15		252	252		
20/02/2019	Monetary	Individual	ABC11	TEST11		11	ROAD11	22	OTTAWA	ON	K1A 0B16		253	253		
21/02/2019	Monetary	Individual	ABC12	TEST12		12	ROAD12	23	OTTAWA	ON	K1A 0B17		254	254		
22/02/2019	Monetary	Individual	ABC13	TEST13		13	ROAD13	24	OTTAWA	ON	K1A 0B18		255	255		
23/02/2019	Monetary	Individual	ABC14	TEST14		14	ROAD14	25	OTTAWA	ON	K1A 0B19		256	256		
24/02/2019	Monetary	Individual	ABC15	TEST15		15	ROAD15	26	OTTAWA	ON	K1A 0B20		257	257		
25/02/2019	Monetary	Individual	ABC16	TEST16		16	ROAD16	27	OTTAWA	ON	K1A 0B21		258	258		
26/02/2019	Monetary	Individual	ABC17	TEST17		17	ROAD17	28	OTTAWA	ON	K1A 0B22		259	259		
27/02/2019	Monetary	Individual	ABC18	TEST18		18	ROAD18	29	OTTAWA	ON	K1A 0B23		260	260		
28/02/2019	Monetary	Individual	ABC19	TEST19		19	ROAD19	30	OTTAWA	ON	K1A 0B24		261	261		
01/03/2019	Monetary	Individual	ABC20	TEST20		20	ROAD20	31	OTTAWA	ON	K1A 0B25		262	262		
02/03/2019	Monetary	Individual	ABC21	TEST21		21	ROAD21	32	OTTAWA	ON	K1A 0B26		263	263		
03/03/2019	Monetary	Individual	ABC22	TEST22		22	ROAD22	33	OTTAWA	ON	K1A 0B27		264	264		
04/03/2019	Monetary	Individual	ABC23	TEST23		23	ROAD23	34	OTTAWA	ON	K1A 0B28		265	265		
05/03/2019	Monetary	Individual	ABC24	TEST24		24	ROAD24	35	OTTAWA	ON	K1A 0B29		266	266		
06/03/2019	Monetary	Individual	ABC25	TEST25		25	ROAD25	36	OTTAWA	ON	K1A 0B30		267	267		
07/03/2019	Monetary	Individual	ABC26	TEST26		26	ROAD26	37	OTTAWA	ON	K1A 0B31		268	268		
08/03/2019	Monetary	Individual	ABC27	TEST27		27	ROAD27	38	OTTAWA	ON	K1A 0B32		269	269		
09/03/2019	Monetary	Individual	ABC28	TEST28		28	ROAD28	39	OTTAWA	ON	K1A 0B33		270	270		
10/03/2019	Monetary	Individual	ABC29	TEST29		29	ROAD29	40	OTTAWA	ON	K1A 0B34		271	271		
11/03/2019	Monetary	Individual	ABC30	TEST30		30	ROAD30	41	OTTAWA	ON	K1A 0B35		272	272		
12/03/2019	Monetary	Individual	ABC31	TEST31		31	ROAD31	42	OTTAWA	ON	K1A 0B36		273	273		
13/03/2019	Monetary	Individual	ABC32	TEST32		32	ROAD32	43	OTTAWA	ON	K1A 0B37		274	274		
14/03/2019	Monetary	Individual	ABC33	TEST33		33	ROAD33	44	OTTAWA	ON	K1A 0B38		275	275		
15/03/2019	Monetary	Individual	ABC34	TEST34		34	ROAD34	45	GATINEAU	QC	K1A 0B39		276	276		
16/03/2019	Monetary	Individual	ABC35	TEST35		35	ROAD35	46	GATINEAU	QC	K1A 0B40		277	277		
17/03/2019	Monetary	Individual	ABC36	TEST36		36	ROAD36	47	GATINEAU	QC	K1A 0B41		278	278		
18/03/2019	Monetary	Individual	ABC37	TEST37		37	ROAD37	48	GATINEAU	QC	K1A 0B42		279	279		
19/03/2019	Monetary	Individual	ABC38	TEST38		38	ROAD38	49	GATINEAU	QC	K1A 0B43		280	280		
20/03/2019	Monetary	Individual	ABC39	TEST39		39	ROAD39	50	GATINEAU	QC	K1A 0B44		281	281		
21/03/2019	Monetary	Individual	ABC40	TEST40		40	ROAD40	51	GATINEAU	QC	K1A 0B45		282	282		
22/03/2019	Monetary	Individual	ABC41	TEST41		41	ROAD41	52	GATINEAU	QC	K1A 0B46		283	283		
23/03/2019	Monetary	Individual	ABC42	TEST42		42	ROAD42	53	GATINEAU	QC	K1A 0B47		284	284		
24/03/2019	Monetary	Individual	ABC43	TEST43		43	ROAD43	54	GATINEAU	QC	K1A 0B48		285	285		
25/03/2019	Monetary	Individual	ABC44	TEST44		44	ROAD44	55	GATINEAU	QC	K1A 0B49		286	286		
26/03/2019	Monetary	Individual	ABC45	TEST45		45	ROAD45	56	GATINEAU	QC	K1A 0B50		287	287		
27/03/2019	Monetary	Individual	ABC46	TEST46		46	ROAD46	57	GATINEAU	QC	K1A 0B51		288	288		
28/03/2019	Monetary	Individual	ABC47	TEST47		47	ROAD47	58	GATINEAU	QC	K1A 0B52		289	289		
29/03/2019	Monetary	Individual	ABC48	TEST48		48	ROAD48	59	GATINEAU	QC	J7N 6B5		290	290		
30/03/2019	Monetary	Individual	ABC49	TEST49		49	ROAD49	60	GATINEAU	QC	J7N 6B6		291	291		
31/03/2019	Monetary	Individual	ABC50	TEST50		50	ROAD50	61	GATINEAU	QC	J7N 6B7		292	292		
01/04/2019	Monetary	Individual	ABC51	TEST51		51	ROAD51	62	GATINEAU	QC	J7N 6B8		293	293		
02/04/2019	Monetary	Individual	ABC52	TEST52		52	ROAD52	63	GATINEAU	QC	J7N 6B9		294	294		
03/04/2019	Monetary	Individual	ABC53	TEST53		53	ROAD53	64	GATINEAU	QC	J7N 6B10		295	295		
04/04/2019	Monetary	Individual	ABC54	TEST54		54	ROAD54	65	GATINEAU	QC	J7N 6B11		296	296		
05/04/2019	Monetary	Individual	ABC55	TEST55		55	ROAD55	66	GATINEAU	QC	J7N 6B12		297	297		
06/04/2019	Monetary	Individual	ABC56	TEST56		56	ROAD56	67	GATINEAU	QC	J7N 6B13		298	298		
07/04/2019	Monetary	Individual	ABC57	TEST57		57	ROAD57	68	GATINEAU	QC	J7N 6B14		299	299		
08/04/2019	Monetary	Individual	ABC58	TEST58		58	ROAD58	69	GATINEAU	QC	J7N 6B15		300	300		
09/04/2019	Monetary	Individual	ABC59	TEST59		59	ROAD59	70	GATINEAU	QC	J7N 6B16		301	301		
10/04/2019	Monetary	Individual	ABC60	TEST60		60	ROAD60	71	GATINEAU	QC	J7N 6B17		302	302		
11/04/2019	Monetary	Individual	ABC61	TEST61		61	ROAD61	72	GATINEAU	QC	J7N 6B18		303	303		
12/04/2019	Monetary	Individual	ABC62	TEST62		62	ROAD62	73	GATINEAU	QC	J7N 6B19		304	304		
13/04/2019	Monetary	Individual	ABC63	TEST63		63	ROAD63	74	GATINEAU	QC	J7N 6B20		305	305		
14/04/2019	Monetary	Individual	ABC64	TEST64		64	ROAD64	75	GATINEAU	QC	J7N 6B21		306	306		
15/04/2019	Monetary	Individual	ABC65	TEST65		65	ROAD65	76	GATINEAU	QC	J7N 6B22		307	307		
16/04/2019	Monetary	Individual	ABC66	TEST66		66	ROAD66	77	GATINEAU	QC	J7N 6B23		308	308		
17/04/2019	Monetary	Individual	ABC67	TEST67		67	ROAD67	78	GATINEAU	QC	J7N 6B24		309	309		
18/04/2019	Monetary	Individual	ABC68	TEST68		68	ROAD68	79	GATINEAU	QC	J7N 6B25		310	310		
